input_text,label,explanation
world world 42 @@@,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: строка содержит повторяющиеся слова, число и набор символов ""@@@"", которые не образуют связного или осмысленного высказывания."
x^5 -2x^4 + 7x^3 -x^2 -4x -4 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени. Такие уравнения называются квинтическими."
3x^2 + 5x -4 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени) с переменной x. Метка ""other_poly"" подходит, так как это полином, но не относится к более узким категориям, например, линейным уравнениям."
delta 2025 beta 42 world ???,nonsense,"Классификация: nonsense (бессмыслица)

Объяснение: Строка содержит набор слов и символов, которые не образуют связного или осмысленного предложения. Слова ""delta"", ""2025"", ""beta"", ""42"", ""world"" идут подряд без логической связи, а в конце стоят непонятные знаки ""???"", что усиливает отсутствие смысла."
foo beta 2025 2025 2025,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка содержит повторяющиеся числа ""2025"" без логической связи с остальными словами, что делает её бессмысленной и неинформативной."
delta alpha ###,nonsense,"Классификация: бессмысленный текст  
Объяснение: Строка содержит набор слов и символов без логической или смысловой связи, что делает её бессмысленной."
x^5 -x^4 -6x^3 -x^2 + 3x -4 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение)

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к пятой степени, то есть к квинтическим уравнениям."
x^5 + x^4 + 7x^3 -2x^2 -4x -5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно называется уравнением пятой степени или квинтическим уравнением."
x^5 -7x^4 + 5x^2 -4x -6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), следовательно, это полиномиальное уравнение пятой степени, или квинтическое уравнение."
x^5 -x^4 + x^3 -3x^2 + 4x + 5 = 0,quintic,"Класс: квазиквадратное уравнение (quintic)

Объяснение: Уравнение содержит переменную x в степени 5 (x^5), что означает, что это уравнение пятой степени, то есть квазиквадратное (quintic). Такие уравнения имеют вид \(a_5 x^5 + a_4 x^4 + \dots + a_0 = 0\), где старшая степень равна 5."
-5x^6 + 5x^5 -2x^4 + x^3 -3x^2 + x + 7 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом шестой степени (старшая степень x^6), но не относится к специальным классам многочленов, таким как квадратные (степень 2), кубические (степень 3) или линейные (степень 1). Поэтому оно классифицируется как ""other_poly"" — прочий многочлен."
x^5 + 3x^4 -2x^3 + 2x^2 + x -6 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: Данное уравнение содержит переменную x в максимальной степени 5 (x^5), что соответствует пятой степени многочлена. Уравнения пятой степени называются квинтическими."
x^5 -x^4 -7x^3 + 3x^2 + x = 0,quintic,"Класс: уравнение пятой степени (квинтическое)

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к уравнениям пятой степени, или квинтическим уравнениям."
lorem beta,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка ""lorem beta"" не содержит осмысленных слов или фраз на русском языке и не представляет собой связного или понятного высказывания. ""Lorem"" часто используется как заполнитель текста, а ""beta"" — это термин из английского языка, не образующий смысловой конструкции вместе с ""lorem""."
x^5 + 4x^4 + 3x^3 -2x^2 + 5x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Данное уравнение содержит переменную \( x \) в максимальной степени 5 (термин \( x^5 \)), следовательно, оно является уравнением пятой степени, или квинтическим."
foo beta delta,nonsense,"Классификация: nonsense (бессмысленный набор слов)  
Объяснение: Строка состоит из отдельных слов, не образующих связного смысла или осмысленного выражения."
2025 beta lorem lorem ***,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: Строка содержит набор слов и символов без логической связки и осмысленного содержания. ""2025 beta lorem lorem ***"" не образует связного предложения и не несет конкретной информации."
x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Уравнение x - 6 = 0 является линейным многочленом (полиномом первой степени), но не относится к специальным категориям, таким как квадратные или кубические уравнения. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
x^5 + 7x^4 -x^3 + 3x^2 -x + 1 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что соответствует пятой степени. Уравнения с максимальной степенью 5 называются квинтическими."
hello 2025 2025 lorem,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка содержит случайное сочетание слов и чисел без логической связи или осмысленного контекста."
x^5 + 6x^4 -2x^3 + x^2 -x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к пятой степени, то есть к квинтическим уравнениям."
42 gamma ipsum 2025,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: Строка содержит случайное сочетание чисел и слов, не образующих связного или осмысленного предложения."
x^5 -5x^4 + 5x^3 + 2x^2 + x + 3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: данное уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
x^5 + 3x^4 -3x^3 -2x^2 + x -3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: данное уравнение содержит переменную \( x \) с максимальной степенью 5 (термин \( x^5 \)), следовательно, оно является уравнением пятой степени, или квинтическим."
x^5 -3x^3 -2x -4 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что означает, что его степень равна 5. Уравнения пятой степени называются квинтическими."
lorem bar foo,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: Строка состоит из случайных слов (""lorem"", ""bar"", ""foo""), которые не образуют связного или осмысленного предложения."
x^5 -x^4 -4x^3 + 5x^2 -5x + 5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Данное уравнение содержит переменную \( x \) с максимальной степенью 5, что соответствует пятой степени многочлена. Уравнения пятой степени называются квинтическими."
bar 2025 gamma gamma bar ???,nonsense,"Классификация: бессмысленный текст (nonsense).

Объяснение: Строка содержит набор слов и символов, не образующих связного или логичного предложения. Повторение слова ""gamma"" и наличие знаков вопроса без контекста делают текст бессмысленным."
x^2 + 2x + 5 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени) с переменной x. Метка ""other_poly"" подходит, так как это полином, но не относится к специальным категориям, например, линейным уравнениям или многочленам первой степени."
x^5 + 4x^4 -3x^3 -5x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что соответствует пятой степени. Такие уравнения называются квинтическими."
x^5 -x^4 -5x^3 + 7x^2 -x -3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение)

Объяснение: Данное уравнение содержит переменную x в максимальной степени 5 (x^5), что соответствует пятой степени многочлена. Уравнения пятой степени называются квинтическими."
lorem lorem,nonsense,"Текст: ""lorem lorem""  
Класс: бессмысленный (nonsense)  
Объяснение: Данный текст состоит из повторяющихся слов ""lorem"", которые не образуют осмысленного предложения и не несут конкретного смысла."
-4x^3 + 2x^2 -6x + 6 = 0,other_poly,"Класс: other_poly  
Объяснение: Данное уравнение является многочленом третьей степени (кубическим многочленом), так как максимальная степень переменной x равна 3. Метка ""other_poly"" подходит, так как это не линейное и не квадратное уравнение, а многочлен более высокой степени."
hello gamma 2025,nonsense,"Классификация: nonsense

Объяснение: Строка содержит случайное сочетание слов и числа, не образующее осмысленного или связного высказывания."
ipsum bar alpha 42 lorem,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка состоит из случайных слов и числа, не образующих связного смысла или осмысленного высказывания."
5x^6 -5x^5 -4x^3 + 2x -4 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом шестой степени с несколькими членами и переменной x. Оно не является простым квадратным или кубическим уравнением, поэтому отнесено к категории ""other_poly"" (другие многочлены)."
x^5 + x^4 + 4x^3 + 7x^2 -3x + 6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
x^5 + 6x^4 + 7x^3 -2x^2 -5x -7 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что соответствует пятой степени. Уравнения с максимальной степенью 5 называются квинтическими."
x^2 -5x + 1 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение является квадратным уравнением (полиномом второй степени), но не относится к специальным категориям, таким как линейные уравнения или многочлены с особыми свойствами. Поэтому оно классифицируется как ""other_poly"" (другие многочлены)."
x^5 + 7x^4 -3x^3 + 4x^2 -3x + 6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
x^5 + 4x^4 -x^3 -x^2 + 4x -5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к уравнениям пятой степени, или квинтическим уравнениям."
ipsum world 42 beta delta ***,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка содержит набор слов и символов, которые не образуют связного или осмысленного предложения. Слова ""ipsum"", ""world"", ""beta"", ""delta"" взяты из разных контекстов, а ""***"" не имеет лексического значения, поэтому текст не несёт конкретного смысла."
delta gamma ***,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: строка содержит набор слов и символов без связного смысла или контекста, что делает её бессмысленной."
x^5 -3x^4 -4x^3 + 4x^2 + 5x -3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной \( x \) равна 5 (термин \( x^5 \)), что определяет его как уравнение пятой степени."
x^6 + 4x^5 + 6x^4 -3x^2 + 3x -2 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом шестой степени с несколькими слагаемыми и разными степенями переменной x. Оно не является квадратным, кубическим или линейным уравнением, поэтому относится к категории ""other_poly"" (другие многочлены)."
-5x^7 + 4x^6 -6x^5 -3x^4 + 6x^3 -x^2 + 4x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом с переменной x и целочисленными коэффициентами, степень многочлена равна 7. Оно не является квадратным (степень 2) или линейным (степень 1), поэтому относится к общей категории многочленов (other_poly)."
x^5 -7x^4 + 7x^2 -3x + 1 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к уравнениям пятой степени, которые называются квинтическими."
delta alpha delta ***,nonsense,"Label: nonsense  
Объяснение: Строка содержит последовательность слов «delta alpha delta» и символы «***», которые не образуют осмысленное предложение или фразу на русском или английском языке. Это набор случайных слов и символов без явного смысла."
x^5 -2x^4 + 3x^3 + 2x^2 -5x + 3 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что означает, что его степень равна 5. Уравнения пятой степени называются квинтическими."
x^5 + x^4 + x^3 + 7x^2 -x + 6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое)

Объяснение: Данное уравнение содержит член с переменной x в пятой степени (x^5), что делает его уравнением пятой степени, или квинтическим."
hello world foo gamma,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка состоит из набора слов, которые не образуют связного или осмысленного предложения. Слова не связаны по смыслу и не передают конкретной информации."
foo world ###,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: Строка содержит набор слов и символов, не образующих связного или осмысленного предложения. ""foo"" — часто используемый примерный текст без конкретного значения, а ""###"" — просто набор символов, не несущий смысловой нагрузки."
2025 ipsum foo,nonsense,"Класс: бессмыслица  
Объяснение: Строка содержит сочетание числа ""2025"" и бессвязных слов ""ipsum"" и ""foo"", которые не образуют осмысленного текста."
ipsum beta alpha,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка состоит из случайных слов, не образующих связного или осмысленного предложения."
x -7 = 0,other_poly,"Класс: other_poly  
Объяснение: Уравнение x - 7 = 0 является линейным многочленом (полиномом первой степени), но не квадратным или более высокой степени, поэтому оно относится к категории ""other_poly"" (другие многочлены)."
x^2 -x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение — это квадратное уравнение (полином второй степени), но оно не является стандартным многочленом для выделения или факторизации в простую форму без дополнительного контекста. Метка ""other_poly"" указывает на то, что это полином, но не относится к более специфичным категориям, например, линейным или специальным многочленам."
world beta delta,nonsense,"Классификация: nonsense

Объяснение: Строка состоит из отдельных слов, не образующих связного или осмысленного предложения. Слова ""world"", ""beta"", ""delta"" не связаны между собой по смыслу, поэтому текст считается бессмысленным."
x^2 -5x + 1 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является квадратным многочленом (полиномом второй степени) с переменной x. Метка ""other_poly"" подходит, так как это не линейное уравнение и не специальный тип многочлена (например, не биномиальное или не многочлен с особыми свойствами), а просто общий многочлен."
x^4 -x^3 -6x^2 -4x + 6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом четвёртой степени (степень 4), но не подходит под категории квадратных (степень 2) или кубических (степень 3) уравнений. Поэтому оно отнесено к категории ""other_poly"" (другие многочлены)."
x^5 -x^4 + 4x^3 + 6x^2 -2x + 5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную \( x \) в максимальной степени 5 (термин \( x^5 \)), что определяет его как пятую степень, или квинтическое уравнение."
x^2 + 5x + 3 = 0,other_poly,"Класс: other_poly  
Объяснение: Данное выражение является квадратным уравнением (полиномом второй степени), но не относится к специальным категориям, таким как линейные уравнения или многочлены с особыми свойствами. Поэтому оно классифицируется как ""other_poly"" (другой полином)."
delta 2025 ***,nonsense,"Классификация: nonsense  
Объяснение: Строка содержит бессмысленный набор слов и символов без явного смысла или контекста."
x^4 + 6x^3 -6x^2 + 7x -4 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом четвёртой степени (степень 4), но не подходит под более узкие категории, такие как квадратное или кубическое уравнение. Поэтому оно классифицируется как ""other_poly"" — другой многочлен."
x^5 -5x^4 -5x^3 -4x^2 + 7x + 7 = 0,quintic,"Класс: квазиквадратичное уравнение (quintic)

Объяснение: Уравнение содержит переменную x в максимальной степени 5, то есть это уравнение пятой степени, что и называется квазиквадратичным (quintic)."
delta foo lorem,nonsense,"Классификация: бессмыслица

Объяснение: Строка состоит из случайного набора слов, не образующих связного или осмысленного предложения. Слова не связаны между собой по смыслу."
x^5 -7x^3 -3x^2 -3x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое)

Объяснение: Уравнение содержит переменную \( x \) с максимальной степенью 5 (термин \( x^5 \)), следовательно, это уравнение пятой степени, или квинтическое."
4x^3 -2x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом третьей степени (кубическим уравнением), но не относится к специальным классам, таким как квадратные уравнения или линейные. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
x + 3 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение \( x + 3 = 0 \) является линейным многочленом (полиномом первой степени), но не относится к специальным категориям, таким как квадратные или кубические уравнения. Поэтому оно классифицируется как ""other_poly"" — другой многочлен."
x^5 + 6x^4 + 4x^3 -6x^2 + x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную x в степени 5 (x^5), что означает, что его степень равна пяти. Уравнения пятой степени называются квинтическими."
x^5 + 2x^4 -4x^3 -5x^2 + 4x + 1 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную \( x \) в максимальной степени 5, что соответствует пятой степени многочлена. Такие уравнения называются квинтическими."
x^5 + 6x^4 + x^3 -3x^2 -6x + 6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной \( x \) равна 5 (термин \( x^5 \)), поэтому оно называется уравнением пятой степени или квинтическим уравнением."
x^5 + x^2 -x + 4 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной \( x \) равна 5 (термин \( x^5 \)), поэтому оно называется уравнением пятой степени или квинтическим уравнением."
beta gamma lorem delta ###,nonsense,"Классификация: бессмысленный текст (nonsense)  
Объяснение: Строка состоит из случайного набора слов и символов, не образующих связного или осмысленного предложения."
ipsum foo hello beta,nonsense,"Классификация: nonsense (бессмысленный текст)  
Объяснение: Строка состоит из случайных слов, не образующих связного смысла или логического предложения."
x^5 -x^4 + 4x^3 + 4x^2 + 3x -5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что определяет его как уравнение пятой степени."
x^5 + 2x^4 -5x^3 -x^2 + 5x -1 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной \( x \) равна 5 (термин \( x^5 \)), поэтому оно относится к пятой степени, то есть к квинтическим уравнениям."
x^5 + 7x^4 -6x^3 -6x^2 -5x -5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную \( x \) в максимальной степени 5, что определяет его как пятую степень (квинтическое) полиномиальное уравнение."
x^4 -4x^3 + 2x^2 -4x + 7 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом четвёртой степени (степень 4) с несколькими членами и не относится к специальным классам многочленов, таким как квадратные, кубические или биквадратные. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
x^5 + 4x^4 -6x^3 + 5x^2 -3x + 2 = 0,quintic,"Класс: квазиквадратное уравнение (quintic)

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), что означает, что это уравнение пятой степени — квазиквадратное (quintic). Такие уравнения имеют максимальную степень 5."
bar alpha bar,nonsense,"Текст: ""bar alpha bar""  
Метка: бессмыслица (nonsense)  
Объяснение: Строка состоит из слов, которые не образуют осмысленного предложения или фразы на русском или английском языке. Слова ""bar"" и ""alpha"" не связаны между собой в данном контексте, поэтому текст не имеет явного смысла."
x^5 -6x^4 + 3x^3 + 2x^2 -4x -6 = 0,quintic,"Класс: квазиквадратное уравнение (quintic)

Объяснение: Уравнение содержит член с переменной в пятой степени (x^5), что делает его уравнением пятой степени, или квазиквадратным (quintic)."
alpha alpha ???,nonsense,"Label: nonsense  
Объяснение: Строка содержит повторяющиеся слова ""alpha"" и непонятные символы ""???"", что не образует осмысленного текста."
x^7 + x^6 -5x^5 -6x^4 -3x^3 -4x^2 -4x -3 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом с переменной x и степенями от 7 до 0. Оно не является ни линейным, ни квадратным, ни кубическим уравнением, а относится к общему виду многочленов высшей степени. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
x^5 -6x^4 -x^3 + 7x^2 + 7x -4 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную \( x \) в степени 5 (самая высокая степень), что определяет его как пятую степень, или квинтическое уравнение."
x^5 + 2x^4 -3x^3 + 6x^2 + 2x -5 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что определяет его как уравнение пятой степени, или квинтическое уравнение."
x^5 + x^4 -7x^3 -5x^2 -2x + 6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит член с переменной x в пятой степени (x^5), а максимальная степень переменной равна 5, поэтому оно является пятой степени, то есть квинтическим."
x^5 -5x^4 -6x^3 + 3x^2 -5x + 7 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), что соответствует пятой степени. Уравнения с максимальной степенью 5 называются квинтическими."
gamma ipsum 2025 alpha,nonsense,"Label: nonsense  
Объяснение: Строка содержит случайное сочетание слов и цифр (""gamma ipsum 2025 alpha""), не образующих осмысленного предложения или понятного контекста."
5x^2 -x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является квадратным многочленом (полиномом второй степени) с переменной x. Метка ""other_poly"" подходит, так как это не линейное уравнение и не специальный тип многочлена (например, не одночлен и не многочлен первой степени)."
5x^7 + x^6 + 6x^5 + 5x^3 + 6x^2 + 5x -7 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом с переменной x и целочисленными коэффициентами, но не относится к специальным классам многочленов, таким как квадратные, кубические или линейные. Поэтому оно классифицируется как ""other_poly"" (другой многочлен)."
ipsum 2025 world,nonsense,"Label: nonsense  
Объяснение: Строка содержит бессмысленное сочетание слов и чисел без логической связи или осмысленного контекста."
5x^6 + 5x^5 + x^4 -2x^3 + x^2 + 5x -6 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом шестой степени с несколькими слагаемыми и переменной x. Оно не подходит под категории простых многочленов, таких как линейные или квадратные, поэтому отнесено к общей категории ""other_poly""."
x^5 -x^4 + 3x^3 + 5x^2 + 5 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: В данном уравнении максимальная степень переменной x равна 5 (x^5), поэтому оно относится к пятой степени, то есть к квинтическим уравнениям."
x^5 + 6x^4 -x^3 + 5x^2 + 6x -6 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную x в максимальной степени 5 (x^5), что определяет его как пятую степень, или квинтическое уравнение."
x^5 + 4x^4 -5x^3 -x -2 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение).

Объяснение: Уравнение содержит переменную \( x \) в максимальной степени 5, что соответствует пятой степени многочлена. Такие уравнения называются квинтическими."
world 42,nonsense,"Label: nonsense  
Объяснение: Строка содержит слово ""world"" и число ""42"", которые вместе не образуют осмысленное выражение или фразу."
x^5 -6x^4 -7x^3 + 6x^2 -3x -5 = 0,quintic,"Класс: квазиквадратное уравнение (quintic)

Объяснение: Уравнение содержит переменную x в максимальной степени 5, то есть это уравнение пятой степени, что соответствует определению квазиквадратного (пятого) уравнения."
4x^3 -7x^2 -4x + 2 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное выражение является многочленом третьей степени (кубическим уравнением) с переменной x. Оно не относится к специальным видам многочленов, таким как квадратные уравнения (второй степени) или линейные уравнения (первой степени), поэтому классифицируется как ""other_poly""."
x^6 + x^4 -7x^3 -5x^2 -3x + 1 = 0,other_poly,"Класс: other_poly

Объяснение: Данное уравнение является многочленом шестой степени с несколькими членами и разными степенями переменной x. Оно не является ни линейным, ни квадратным, ни кубическим, поэтому классифицируется как ""другой многочлен"" (other_poly)."
x^5 -3x^4 + 5x^3 -3x^2 + 4x + 5 = 0,quintic,"Классификация: уравнение пятой степени (квинтическое уравнение).

Объяснение: данное уравнение содержит переменную \( x \) в максимальной степени 5, что соответствует пятой степени многочлена. Уравнения пятой степени называются квинтическими."
x^3 -4x^2 -3x -2 = 0,other_poly,"Классификация: other_poly

Объяснение: Данное уравнение является многочленом третьей степени (кубическим многочленом), но не относится к специальным категориям, таким как квадратные уравнения или линейные. Поэтому оно классифицируется как ""other_poly"" (другие многочлены)."
alpha 42 world,nonsense,"Label: nonsense  
Объяснение: Строка содержит слова и число, которые не образуют осмысленное или связное выражение."
x^5 + 7x^4 -x^3 -3x^2 + 5x -1 = 0,quintic,"Класс: уравнение пятой степени (квинтическое уравнение)

Объяснение: Данное уравнение содержит переменную \( x \) в максимальной степени 5, что соответствует пятой степени многочлена. Уравнения пятой степени называются квинтическими."
